КП 	АРМ Социолог	Delphi 7.0	1200
ВКР 	"АИС информационного отдела МВД" (Delphi+ADO+Access)	Delphi 7.0	1200+
КП 	Cервисный центр ОМВД (Delphi + СУБД Access)	Delphi 7.0	800+
КП 	Cистема поддержки принятия решений по выбору вида страхования	Delphi XE	1400+
ВКР 	MRP-система. Планирование и производство в пищепроме (ADO + Access)	Delphi 7.0	2000+
ВКР 	Автоматизация бухгалтерского учета в организациях розничной торговли (на примере ООО «Сурадж»)	Delphi 7.0	2900+
ВКР 	Автоматизация ведения учета свободных мест и граждан, нуждающихся в трудоустройстве «ГКУ центра занятости»	Delphi 7.0	2800+
КП 	Автоматизация годовой подписки	Delphi 7.0	670+
ВКР 	Автоматизация обработки заявок на обслуживание трубопроводных систем в ЗАО «СКАНЛИК»	Delphi 7.0	1300+
ВКР 	Автоматизация работы классного руководителя многопрофильного техникума	Delphi 7.0	3200
КП 	Автоматизация работы фитнес-клуба (ADO) База данных "Фитнес-клуб"	Delphi 7.0	1600+
ВКР 	Автоматизация рабочего места специалиста по работе с клиентами компании "Энергосбыт"	Delphi 7.0	2500+
ВКР 	Автоматизация рабочего места специалиста по работе с клиентами Энергосбытовой компании	Delphi 7.0	1800+
ВКР 	Автоматизация стоимости расчета рекламы (Delphi + СУБД Access)	Delphi 7.0	1200+
КП 	Автоматизация товарооборота компьютерной торговой сети	Delphi 7.0	1600+
КП 	Автоматизация учета продаж и гарантийного обслуживания автомобилей (Interbase)	Delphi 7.0	1400+
ВКР 	Автоматизация фитнес клуба (ADO, Access)	Delphi 7.0	2000+
ВКР 	Автоматизированная информационная система "Музыкальный магазин" (ADO + MS SQL Server 2005)	Delphi 7.0	1300+
КП 	Автоматизированная информационная система "Учет и регистрация работающих иностранных граждан"	Delphi 7.0	1600+
ВКР 	Автоматизированная информационная система (АИС) учета основных средств на предприятии	Delphi 7.0	800+
ВКР 	Автоматизированная информационная система (АИС) учета производства и реализации готовой продукции	Delphi 7.0	20+
ВКР 	Автоматизированная информационная система учета экономической деятельности агентства недвижимости (ADO)	Delphi 7.0	2600+
ВКР 	Автоматизированная информационная система учёта товародвижения в торговле (Учет компьютерной техники)	Delphi 7.0	1800+
КП 	Автоматизированная система "Распределение студентов"	Delphi 7.0	1600+
ВКР 	Автоматизированная система отслеживания ошибок при разработке программного обеспечения	Delphi 7.0	2000+
ВКР 	Автоматизированная система планирования сборки компьютеров (MRP система)	Delphi 7.0	2000+
ВКР 	Автоматизированная система по учету кассовых и банковских операций на предприятии ОАО "Электромеханика"	Delphi 7.0	2000+
ВКР 	Автоматизированная система подготовки статистической отчетности на предприятии ОАО "Эльта"	Delphi 7.0	2200+
КП 	Автоматизированная система управления нотариальной конторой	Delphi 7.0	1500+
ВКР 	Автоматизированная система учета готовой продукции и ее реализации на предприятии ОАО "База"	Delphi 7.0	2000+
ВКР 	Автоматизированное рабочего место (АРМ) системного администратора	Delphi 7.0	1300+
КП 	Автоматизированное рабочее место "Военкомат"	Delphi 7.0	1800+
КП 	Автоматизированный учет проданных товаров отдела "Обувь" (Delphi + СУБД Access)	Delphi 7.0	700
КП 	Агентство недвижимости	Delphi 7.0	1800+
ВКР 	Агентство недвижимости	Delphi 7.0	1700+
КП 	АИС "Информационного отдела МВД"	Delphi 7.0	1200+
КП 	АИС "Абитуриент" (ADO+MsSqlServer2012)	Delphi 7.0	1330
КП 	АИС "Автоперевозки" (ADO + Access)	Delphi 7.0	1200+
ВКР 	АИС "Автопрокат" (ADO + Access)	Delphi 7.0	2400+
ВКР 	АИС "Автосалон" (SQL Server или Access)	Delphi 7.0	2200+
ВКР 	АИС "Автосалон" (авторизация, разграничение доступа) (ADO + Access или SQL Server)	Delphi 7.0	2600+
ВКР 	АИС "Автосалон" (АИС учета продаж транспортных средств)	Delphi 7.0	1800+
КП 	АИС "Автостоянка" (версия 2) (ADO + Access)	Delphi 7.0	2000+
ВКР 	АИС "Агентство недвижимости" (ADO + Access или SQL Server)	Delphi 7.0	2000+
ВКР 	АИС "Агентство недвижимости" (версия 2) (SQL Server или Access)	Delphi 7.0	2200+
КП 	АИС "АЗС" (автозаправка) (ADO + Access)	Delphi 7.0	2000
ВКР 	АИС "Анализ финансового состояния предприятия" (ADO + Access)	Delphi 7.0	2200+
ВКР 	АИС "Анализ финансового состояния предприятия" (ADO + MsSqlServer)	Delphi 7.0	3000+
ВКР 	АИС "Аптека поликлиники"	Delphi 7.0	2200+
КП 	АИС "Аптека"	Delphi 7.0	1600+
ВКР 	АИС "Аптека" (версия 2) (ADO+Access)	Delphi 7.0	2400+
ВКР 	АИС "Аптечная сеть" (SQL Server или Access)	Delphi 7.0	2200+
ВКР 	АИС "АРМ Технический учет". Учет обслуживания компьютеров и оргтехники. ADO + SQL SERVER	Delphi 7.0	1100+
ВКР 	АИС "АСУ отдела информационных технологий". Учет компьютерной и офисной техники и разработки проектов.(Delphi+ADO+Access)	Delphi 7.0	1800+
ВКР 	АИС "Аудиторный фонд" (ADO + Access)	Delphi 7.0	2400+
КП 	АИС "Аэропорт" (ADO + Access)	Delphi 7.0	2400+
КП 	АИС "Библиографический отдел". АРМ библиотекаря. БД библиотека. (ADO+ACCESS)	Delphi 7.0	800+
КП 	АИС "Библиотека" (Interbase)	Delphi 7.0	1600+
ВКР 	АИС "Библиотека" (авторизация, управление доступом) (ADO+Access)	Delphi 7.0	2400+
КП 	АИС "Биллинг" (Расчет платежей за услуги сотовой телефонной связи)	Delphi 7.0	900+
ВКР 	АИС "Видеопрокат" (ADO + Access)	Delphi 7.0	2400+
КП 	АИС "Вокзал" (ADO + Access)	Delphi 7.0	2000
ВКР 	АИС "Гарантийный отдел компьютерного магазина" (ADO + Access)	Delphi 7.0	1500+
ВКР 	АИС "Детский сад" (Delphi + ADO + Access)	Delphi 7.0	2600+
КП 	АИС "Документооборот"	Delphi 7.0	1600+
КП 	АИС "Зоомагазин" (АРМ работника зоомагазина)	Delphi 7.0	1400+
Программа 	АИС "Инвестиционная деятельность". Учета доходов/расходов от покупки/пролажи акций. Покупка-продажа акций.	Delphi 7.0	700+
КП 	АИС "Интернет-провайдер" (ADO + Access)	Delphi 7.0	1600+
КП 	АИС "Кафетерий" (АРМ работника кафе)	Delphi 7.0	1400+
ВКР 	АИС "Кинотеатр"	Delphi 7.0	2400+
КП 	АИС "Книжный магазин"	Delphi 7.0	1600+
ВКР 	АИС "Книжный магазин" (версия 2) (ADO+Access)	Delphi 7.0	2400+
ВКР 	АИС "Логистическая компания" (ADO + Access)	Delphi 7.0	2400+
Программа 	АИС "Ломбард"	Delphi 7.0	1930+
ВКР 	АИС "Магазин "Автозапчасти" (авторизация, управление доступом) (ADO + Access)	Delphi 7.0	2600+
КП 	АИС "Магазин аудио-видео техники" (АРМ работника магазина техники) (ADO + Access)	Delphi 7.0	1400+
ВКР 	АИС "Магазин аудио-видео техники" (версия 2) ADO + Access	Delphi 7.0	2400+
ВКР 	АИС "Магазин бытовой техники" (версия 2) (ADO + Access)	Delphi 7.0	2400+
ВКР 	АИС "Магазин бытовой техники" (Версия 3) (SQL Server или Access)	Delphi 7.0	2200+
ВКР 	АИС "Магазин бытовой химии" (ADO+Access)	Delphi 7.0	2400
ВКР 	АИС "Магазин восточной кухни" (Учет заказов суши-бара)	Delphi 7.0	2200+
ВКР 	АИС "Магазин канцтоваров" (ADO + Access)	Delphi 7.0	2400+
ВКР 	АИС "Магазин компьютерной техники" (ADO + MySQL)	Delphi 7.0	2000+
ВКР 	АИС "Магазин компьютерной техники" (ADO+Access)	Delphi 7.0	2400+
